wall_time,global_step,episode,ep_steps,final_distance_cm,success,ep_reward
20260910_170658,191,5,1,4.06,1,-0.0406
20260910_170702,241,6,50,14.067,0,-7.2899
20260910_170706,291,7,50,6.286,0,-3.199
20260910_170710,341,8,50,6.876,0,-6.5074
20260910_170715,391,9,50,9.128,0,-5.8333
20260910_170719,433,10,42,4.748,1,-4.9481
20260910_170724,483,11,50,8.018,0,-6.9049
20260910_170728,533,12,50,6.508,0,-5.2976
20260910_170733,583,13,50,9.675,0,-6.1669
20260910_170737,633,14,50,6.178,0,-6.2214
20260910_170740,666,15,33,4.888,1,-2.2943
20260910_170742,674,16,8,4.839,1,-0.4657
20260910_170746,724,17,50,10.001,0,-5.8416
20260910_170750,774,18,50,5.963,0,-5.597
20260910_170755,824,19,50,10.582,0,-6.546
20260910_170759,874,20,50,6.591,0,-6.337
20260910_170804,924,21,50,6.941,0,-6.5693
20260910_170808,974,22,50,12.878,0,-6.807
20260910_170813,1024,23,50,11.283,0,-6.8857
20260910_170817,1074,24,50,15.081,0,-8.475
20260910_170821,1124,25,50,7.94,0,-4.1982
20260910_170824,1161,26,37,4.927,1,-3.4762
